timestamp,avg_latency,jitter,rtt_min,rtt_max,packet_count,latency_change_5m,rolling_mean,rolling_std,threshold,is_degraded,target_5m_degraded
2026-02-09 12:16:00,31.624446074712644,3.680530638161457,24.930227,41.28582,0,0.13084152298850427,31.241245536085923,4.291142234009756,41.96910112111031,0,0.0
2026-02-09 12:17:00,35.77404197126437,5.40845932456913,25.23506,45.303161,174,4.2804374195402275,31.389878125421813,4.291124708571685,42.117689896851026,0,0.0
2026-02-09 12:18:00,35.77404197126437,5.40845932456913,25.23506,45.303161,0,4.149595896551723,31.538510714757695,4.285868487707541,42.25318193402654,0,0.0
2026-02-09 12:19:00,35.77404197126437,5.40845932456913,25.23506,45.303161,0,4.149595896551723,31.687143304093585,4.275354249735632,42.375528928432665,0,0.0
2026-02-09 12:20:00,35.77404197126437,5.40845932456913,25.23506,45.303161,0,4.149595896551723,31.83577589342947,4.25954305823271,42.48463353901124,0,0.0
2026-02-09 12:21:00,32.176693735632185,3.349346880382487,25.165852,37.575322,174,0.5522476609195408,31.948393530019512,4.175528223664029,42.38721408917959,0,0.0
2026-02-09 12:22:00,32.176693735632185,3.349346880382487,25.165852,37.575322,0,-3.5973482356321824,32.06101116660955,4.086633020106893,42.27759371687679,0,0.0
2026-02-09 12:23:00,32.176693735632185,3.349346880382487,25.165852,37.575322,0,-3.5973482356321824,32.173628803199584,3.992531471156838,42.15495748109168,0,0.0
2026-02-09 12:24:00,32.176693735632185,3.349346880382487,25.165852,37.575322,0,-3.5973482356321824,32.28624643978962,3.892846037035665,42.01836153237878,0,0.0
2026-02-09 12:25:00,31.650916166666665,3.1811097321861364,24.928388,39.504698,174,-4.123125804597702,32.363850255306865,3.8314985129502652,41.942596537682526,0,0.0
2026-02-09 12:26:00,31.650916166666665,3.1811097321861364,24.928388,39.504698,0,-0.5257775689655197,32.44145407082411,3.7675273840436274,41.86027253093317,0,0.0
2026-02-09 12:27:00,31.650916166666665,3.1811097321861364,24.928388,39.504698,0,-0.5257775689655197,32.51905788634135,3.7007965997065897,41.771049385607824,0,0.0
2026-02-09 12:28:00,31.650916166666665,3.1811097321861364,24.928388,39.504698,0,-0.5257775689655197,32.596661701858594,3.6311540181302973,41.67454674718434,0,0.0
